px,theta
0.0,0.0
0.8845,0.0
1.769,0.0
2.6535,0.0
3.538,0.0
4.4225,0.0
5.307,0.0
6.1915,0.0
7.0759,0.0
7.9604,0.0
8.8449,0.0
9.7294,0.0
10.6139,-0.00260888700299352
11.4955,-0.012940587636991442
12.3764,-0.02404527971541406
13.2579,-0.03514089192456794
14.1397,-0.046101973961338076
15.0219,-0.057067869933458006
15.9041,-0.06824569900648489
16.7863,-0.07920801396145492
17.6682,-0.09038374299911611
18.5498,-0.1013541199049827
19.4308,-0.1124397949206137
20.3111,-0.12354317007923313
21.1905,-0.13454201707637714
22.0689,-0.14569385851507274
22.946,-0.1568422658209982
23.8218,-0.16779981416119955
24.6961,-0.17892543517508852
25.5686,-0.19003088044029962
26.4394,-0.20111186358363117
27.3081,-0.21222010662679916
28.1746,-0.22324652521963548
29.0388,-0.23432882621456458
29.9005,-0.24544421244146505
30.7596,-0.2565130302061543
31.6159,-0.26754070823140347
32.4692,-0.27857922722024253
33.3195,-0.2896144175091887
34.1665,-0.3007300486892949
35.01,-0.3117186444380821
35.8501,-0.32275464213207766
36.6864,-0.3338094056371128
37.5189,-0.34465827530282034
38.3479,-0.3490317925128208
39.1791,-0.34917670266814316
40.0102,-0.349031792512818
40.8414,-0.3490704597239522
41.6725,-0.349031792512818
42.5037,-0.3490704597239446
43.3348,-0.3490704597239522
44.1659,-0.349031792512818
44.9971,-0.3490704597239522
45.8282,-0.3491380256660206
46.6594,-0.3490704597239446
47.4905,-0.349031792512818
48.3217,-0.3490704597239522
49.1528,-0.349031792512818
49.984,-0.3490704597239446
50.8151,-0.3490317925128208
51.6463,-0.3490704597239494
52.4774,-0.3491380256660206
53.3086,-0.3490704597239522
54.1397,-0.34903179251281047
54.9709,-0.3490704597239522
55.802,-0.3490704597239522
56.6331,-0.349031792512818
57.4643,-0.3490704597239446
58.2954,-0.349031792512818
59.1266,-0.3469029323890535
59.9567,-0.3281724515478032
60.7911,-0.3061346593113061
61.633,-0.28400225117624445
62.4816,-0.2618616352441003
63.3364,-0.2398040296514338
64.1969,-0.2175552788191766
65.0623,-0.19547108150371392
65.932,-0.1733067668708288
66.8054,-0.1511486649417302
67.6819,-0.12898744195608347
68.5608,-0.10677977355197257
69.4415,-0.08474606566315387
70.3232,-0.06248937963395843
71.2054,-0.0405673005535796
72.0874,-0.01838195111190416
72.9686,-0.0012456114042578219
73.8517,0.0
74.7362,0.0
75.6206,0.0
76.5051,0.0
77.3896,0.0
78.2741,0.0
79.1586,0.0
80.0431,0.0
80.9276,0.0
81.8121,0.0
82.6965,0.0
83.581,0.0
84.4655,0.0
85.35,0.0
86.2345,0.0
87.119,0.0
88.0035,0.0
88.888,0.0
89.7724,0.0
90.6569,0.0
91.5414,0.0
92.4259,0.0
93.3104,0.0
94.1949,0.0
95.0794,0.004767814933669788
95.9603,0.03136048123744072
96.8401,0.06077881825242999
97.7209,0.09024017078990926
98.6017,0.11960826122081486
99.4812,0.1492802306564127
100.3582,0.17883579612440387
101.2317,0.20850547756435742
102.1004,0.23798519703055976
102.9632,0.2676355841906718
103.8191,0.29717206749775443
104.6668,0.3266797900845719
105.5053,0.35621472298255125
106.3336,0.3856659640452327
107.1506,0.41495655603009995
107.9553,0.4356350762839869
108.7558,0.43629250837576156
109.5575,0.4363402863326182
110.3591,0.4363402863326186
111.1607,0.4363402863326182
111.9623,0.4363402863326186
112.7639,0.4362925083757684
113.5656,0.4363402863326182
114.3672,0.4363402863326186
115.1688,0.4363402863326182
115.9704,0.4363402863326186
116.772,0.43634028633262545
117.5736,0.43629250837576106
118.3753,0.4363402863326186
119.1769,0.4363402863326182
119.9785,0.4363402863326186
120.7801,0.43634028633262545
121.5817,0.43629250837576106
122.3834,0.4363402863326186
123.185,0.43634028633262545
123.9866,0.4363402863326114
124.7882,0.43634028633262545
125.5898,0.43629250837576106
126.3915,0.4363402863326186
127.1931,0.43634028633262545
127.9947,0.4363402863326114
128.7963,0.4363402863326186
129.5979,0.43634028633262495
130.3995,0.43629250837576156
131.2012,0.4363402863326186
132.0028,0.43634028633262495
132.8044,0.4313908860152617
133.603,0.4168386491728144
134.407,0.40225216822659293
135.2172,0.3876888300609226
136.0334,0.3727859036043016
136.8555,0.35818790431710074
137.6831,0.343419431798151
138.5159,0.3287159713061808
139.3538,0.3139340308636213
140.1965,0.2990628537714658
141.0437,0.2844164063064624
141.8951,0.26952333799674366
142.7505,0.2548695914575703
143.6095,0.23992544200322416
144.472,0.2252287520993597
145.3375,0.21033824834052287
146.2059,0.19562862114627638
147.0769,0.18078050770879137
147.9501,0.16596382414578437
148.8253,0.15119221571163405
149.7022,0.13645738391335913
150.5805,0.12163894147219202
151.4599,0.1069522869639499
152.3401,0.09216463061673975
153.2208,0.07737078194835317
154.1018,0.06269443420715413
154.9827,0.048003978673012454
155.8632,0.03339666918131309
156.7432,0.018655400938279755
157.6222,0.0043206098399707
158.5017,0.0
159.3862,0.0
160.2707,0.0
161.1552,0.0
162.0396,0.0
162.9241,0.0
163.8086,0.0
164.6931,0.0
165.5776,0.0
166.4621,0.0
167.3466,0.0
168.2311,0.0
169.1155,0.0
170.0,0
